Visitor/Neutral;PTS;Home/Neutral;PTS
Phoenix Suns;91;Indiana Pacers;97
Portland Trail Blazers;87;Los Angeles Lakers;104
Toronto Raptors;104;New Orleans Hornets;97
New York Knicks;105;Sacramento Kings;106
Houston Rockets;116;San Antonio Spurs;122
Los Angeles Clippers;116;Utah Jazz;114
Orlando Magic;97;Washington Wizards;105
Indiana Pacers;100;Atlanta Hawks;109
Cleveland Cavaliers;100;Brooklyn Nets;103
New Orleans Hornets;98;Charlotte Bobcats;95
Washington Wizards;77;Chicago Bulls;87
Boston Celtics;83;Golden State Warriors;101
Oklahoma City Thunder;124;Houston Rockets;94
Denver Nuggets;72;Memphis Grizzlies;81
Miami Heat;85;Milwaukee Bucks;104
Phoenix Suns;107;Minnesota Timberwolves;111
Toronto Raptors;123;Orlando Magic;88
Philadelphia 76ers;85;Portland Trail Blazers;89
San Antonio Spurs;111;Dallas Mavericks;86
Milwaukee Bucks;94;Detroit Pistons;96
Utah Jazz;96;Los Angeles Clippers;107
Boston Celtics;96;Sacramento Kings;118
Charlotte Bobcats;91;Chicago Bulls;81
Atlanta Hawks;104;Houston Rockets;123
Memphis Grizzlies;83;Indiana Pacers;88
Phoenix Suns;96;Oklahoma City Thunder;114
Miami Heat;112;Orlando Magic;110
Brooklyn Nets;73;San Antonio Spurs;104
Los Angeles Clippers;78;Denver Nuggets;92
Sacramento Kings;97;Detroit Pistons;103
Philadelphia 76ers;103;Los Angeles Lakers;99
Atlanta Hawks;95;New Orleans Hornets;86
Portland Trail Blazers;105;New York Knicks;100
Dallas Mavericks;103;Washington Wizards;94
Memphis Grizzlies;93;Boston Celtics;83
Sacramento Kings;97;Cleveland Cavaliers;94
Los Angeles Clippers;94;Golden State Warriors;115
New Orleans Hornets;92;Houston Rockets;104
Washington Wizards;81;Indiana Pacers;89
Dallas Mavericks;109;Miami Heat;119
San Antonio Spurs;117;Milwaukee Bucks;110
Brooklyn Nets;110;Oklahoma City Thunder;93
Chicago Bulls;96;Orlando Magic;94
Philadelphia 76ers;89;Phoenix Suns;95
Portland Trail Blazers;79;Toronto Raptors;102
Minnesota Timberwolves;84;Utah Jazz;106
Minnesota Timberwolves;101;Denver Nuggets;97
San Antonio Spurs;83;New York Knicks;100
Indiana Pacers;75;Boston Celtics;94
Cleveland Cavaliers;106;Charlotte Bobcats;104
Atlanta Hawks;84;Detroit Pistons;85
Los Angeles Lakers;102;Los Angeles Clippers;107
Portland Trail Blazers;86;Memphis Grizzlies;84
Chicago Bulls;96;Miami Heat;89
